"# of Use","počet použití"
"%1$s incl tax.","%1$s s daní."
"%s - %s","%s - %s"
"%s Item(s)","položek: %s"
"Special Price:","Zvláštní cena:"
"Starting at:","Začít v:"
"Static","Pevný"
"Static block and products","Statický blok a produkty"
"Static block only","Pouze statické bloky"
"Status","Stav"
"Stock Availability","Skladová dostupnost"
"Store","Obchod"
"Store View","Obchod Pohled"
"Stretch","Natáhnout"
"Subscribe to RSS Feed","Odebírat RSS zdroj"
"Super product attributes configuration","Konfigurace vlastností superproduktů"
"Synonym For","Synonyma pro"
"System Properties","Vlastnosti systému"
"Tag Name","Jméno štítku"
"Tax","Daň"
"Template","Šablona"
"Text","Text"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module.","Modul flat katalogu má limit %2\$d filtrovatelných a/nebo třídících vlastností. Momentálně je %1\$d. Prosím zredukujte počet filtrovatelných/třídících vlastností v objednávce pro možné použití tohoto modulu."
"The attribute model is not defined","Vlastnost modelu není definována"
"The attribute set has been saved.","Množina vlastností byla úspěšně uložena."
"The base directory to upload image file is not specified.","Není specifikován výchozí adresář pro nahrávání obrázků."
"The category has been deleted.","Kategorie smazána."
"The category has been saved.","Kategorie uložena."
"The comparison list was cleared.","Seznam porovnání byl úspěšně vyčištěn."
"The email template is not specified by administrator.","Šablona emailu není vybrána administrátorem."
"The filters must be an array.","Filtry musí být v poli."
"The image contents is not valid base64 data.","Obsah obrázkunemá platná data base64."
"The image is not specified.","Obrázek není specifikovaný."
"The product %s has been added to comparison list.","Produkt %s byl úspěšně přidán k porovnání."
"The product %s has been removed from comparison list.","Produkt %s byl úspěšně odebrán z porovnání."
"The product attribute has been deleted.","Vlastnost produktu byla úspěšně smazána"
"The product attribute has been saved.","Vlastnost produktu byla úspěšně uložena"
"The product has been created.","Produkt byl úspěšně vytvořen."
"The product has been deleted.","Produkt byl smazán."
"The product has been duplicated.","Produkt nyl duplikován."
"The product has been saved.","Produkt byl úspěšně uložen."
"The product has required options","Produkt má vyžadovaná nastavení."
"The review has been deleted","Recenze úspěšně smazány."
"The review has been saved.","Recenze úspěšně uloženy."
"The review was removed by another user or does not exist.","Recenze byla odstraněna jiným uživatelem a nebo neexistuje."
"The search was deleted.","Hledání bylo úspěšně smazáno."
"The text is too long","Délka textu je příliš dlouhá"
"There are no %s available.","%s není dostupný."
"There are no customers for this alert","Nejsou zákazníci pro toto varování"
"There are no customers for this alert.","Nejsou zákazníci pro toto varování."
"There are no products matching the selection.","Výběru neodpovídá žádná položka."
"This Attribute no longer exists","Tato vlastnost již neexistuje"
"This attribute cannot be deleted.","Nemůžete smazat tuto vlastnost."
"This attribute cannot be edited.","Nemůžete upravovat tuto vlastnost."
"This attribute cannot be updated.","Nemůžete upravit tuto vlastnost."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Tato skupina obsahuje vlastnosti používané v konfigurovatelném produktu, nelze ji proto odebrat z množiny vlastností."
"This attribute no longer exists","Tato vlastnost již dlouho neexistuje"
"This attribute set no longer exists.","Množina vlastností již neexistuje"
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Tato skupina obsahuje vlastnosti používané v konfigurovatelném produktu. Přesuňte tyto vlastnosti do jiné skupiny a zkuste to znovu."
"This group contains system attributes. Please move system attributes to another group and try again.","Tato skupina obsahuje systémové vlastnosti. Přesuňte systémové vlastnosti do jiné skupiny a zkuste to znovu."
"This is a required option","Toto je vyžadovaná vlastnost"
"This product no longer exists.","Tento produkt již neexistuje."
"This search no longer exists.","Toto vyhledávání již dlouho neexistuje."
"Tier Pricing","Množstevní sleva"
"Tile","Dlaždice"
"Time Format","Formát času"
"Title","Nadpis"
"To reindex the enabled product(s), the store or product must be specified.","Pro přeindexování povolených produktů musíte specifikovat obchod nebo produkt."
"Top/Left","Nahoře/vlevo"
"Top/Right","Nahoře/vpravo"
"Total Qty Base Items","Celkový počet položek základu"
"Total incl. Tax: %1$s","Celkem s daní: %1$s"
"Total of %d record(s) have been deleted.","Celkem úspěšně smazaných záznamů: %d."
"Total of %d record(s) have been updated.","Celkem úspěšně uložených záznamů: %d."
"Type","Typ"
"URL Rewrite Management","Správa přepisů URL"
"Unable to complete this request.","Nelze dokončit požadavek. Prosím zkuste to znovu později."
"Unable to find a search term to delete.","Nenalezen hledaný výraz k smazání."
"Unable to find an attribute to delete.","Nenalezena vlastnost k smazání."
"Unable to get the product ID.","Nelze získat ID produktu."
"Unassigned Attributes","Nepřiřazené vlastnosti"
"Unknown EAV indexer type ""%s"".","Neznámý typ indexu eav ""%s""."
"Unknown attribute: %s.","Neznámý atribut: %s."
"Unsupported product type ""%s"".","Nepodporovaný typ produktu ""%s""."
"Up-sells","Doporučit"
"Update","Aktualizovat"
"Update Attributes","Aktualizovat vlastnosti"
"Update Tier Price","Aktualizovat slevy produktu"
"Update assigned product","Aktualizovat přiřazené produkty"
"Update attributes","Aktualizovat vlastnosti"
"Update category","Aktualizovat kategorii"
"Update product","Aktualizovat produkt"
"Update product image","Aktualizovat obrázek produktu"
"Update product link","Aktualizovat odkaz produktu"
"Update product tier prices","Aktualizovat slevy produktu"
"Upload new product image ","Nahrát nový obrázek k produktu"
"Url Rewrite Management","Správa přepisů URL"
"Use Canonical Link Meta Tag For Categories","Use Canonical Link Meta Tag For Categories"
"Use Canonical Link Meta Tag For Products","Use Canonical Link Meta Tag For Products"
"Use Categories Path for Product URLs","Použít cestu kategorie pro URL produktu"
"Use Config Settings","Použijte konfiguraci nastavení"
"Use Default Value","Použít výchozí hodnotu"
"Use Flat Catalog Category","Použít Flat katalog kategorií"
"Use Flat Catalog Product","Použít Flat katalog produktů"
"Use In Layered Navigation","Užijte ve vrstvách navigace"
"Use In Search Results Layered Navigation","Použít ve vrstvách navigace vyhledávání"
"Use JavaScript Calendar","Použít javascriptový kalendář"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Use Static URLs for Media Content in WYSIWYG for Catalog"
"Use To Create Configurable Product","Použít pro vytvoření konfigurovatelného produktu"
"Use Tree Like Category Sitemap","Použít stromovou strukturu mapy stránek kategorií"
"Use default","Použít výchozí"
"Use for Promo Rule Conditions","Použít pro pravidla cen"
"Use four-digit year format.","Použít 4 číselný formát roku."
"Use in Advanced Search","Použít v rozšířeném hledání"
"Use in Layered Navigation","Užijte ve vrstvách navigace"
"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Používá se ve vrstvách navigace<br/>(Může být použito pouze se vstupem typu 'Rozbalovací menu')"
"Use in Quick Search","Použít v rychlém hledání"
"Used for Sorting in Product Listing","Použito pro třídění při výpisu produktů"
"Used in Product Listing","Použito v seznamu produktů"
"Value for ""%s"" is invalid.","Hodnota pro ""%s"" je neplatná."
"Value for ""%s"" is invalid: %s","Hodnota pro ""%s"" je neplatná: %s"
"Varchar","Varchar"
"View as","Zobrazit jako"
"Virtual Product","Virtuální produkt"
"Visibility","Viditelnost"
"Visible","Viditelné"
"Visible on Catalog Pages on Front-end","Viditelné v katalogu"
"Visible on Product View Page on Front-end","Viditelné na stránce produktů"
"WYSIWYG Editor","WYSIWYG editor"
"Watermark","Vodoznak"
"Watermark Default Size","Výchozí velikost vodoznaku"
"Watermark Opacity, Percent","Intenzita vodoznaku v procentech"
"Watermark Position","Pozice vodoznaku"
"We Also Recommend","Doporučujeme"
"Website","Webové stránky"
"Websites","Webové stránky"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Povolit zobrazit ""vše"" v rozbalovacím menu ""Zobrazit X na stránku""."
"Wrong BuyRequest instance in options group.","Wrong BuyRequest instance in options group."
"Wrong option instance type in options group.","Chybný typ volby ve skupině možností."
"Wrong option type to get group instance.","Chybný typ možnosti při získávání instance skupiny."
"Wrong product instance type in options group.","Chybný typ instance produktu ve skupině možností."
"Wrong product type filter specified","Zvolen chybný typ filtru produktu"
"Wrong quote item instance in options group.","Chybná instance množsví položek ve skupině možností."
"Wrong quote item option instance in options group.","Chybné množství položek ve skupině vlastností."
"Year Range","Rozsah roků"
"Yes","Ano"
"You cannot email this product to a friend.","Informace o tomto produktu nelze odeslat emailem."
"You cannot remove system attribute from this set.","Nemůžete odebrat systémovou vlastnost z této skupiny."
"You cannot send more than %d emails at a time.","Nemůžete odeslat více jak %d emailů v nastaveném časovém úseku."
"You have exceeded limit of %d sends in an hour.","Překročili jste povolený limit posílání za hodinu (%d)."
"You have no items to compare.","Nevybrali jste položky k porovnání."
"You have to specify at least one recipient.","Musíte vybrat alespoň jednoho příjemce."
"You may also be interested in the following product(s)","Možná Vás zaujme i následující "
"Zoom In","Přiblížit"
"Zoom Out","Oddálit"
"[GLOBAL]","[GLOBÁLNÍ]"
"and","a"
"categories","Kategorie"
"each","každý"
"ex. http://domain.com","například: http://domain.com"
"leave blank if its not an image","ponechte prázdné pokud to není obrázek"
"per page","na stránku"
"products","produkty"
"px.","px."
"save","ušetříte"
"select all","Vybrat vše"
"unselect all","Odznačit vše"
"x","x"
